# Rime user dictionary
#@/db_name	luna_pinyin
#@/db_type	userdb
#@/rime_version	1.8.5
#@/tick	7177
#@/user_id	c5dd1731-b25f-4cc2-84c6-bf1978ff09b8
a 	啊	c=3 d=0.0209629 t=7177
a 	阿	c=4 d=0.794632 t=7177
a li 	阿里	c=1 d=9.05454e-09 t=7177
an 	安	c=4 d=0.559082 t=7177
an di 	安迪	c=1 d=4.8365e-14 t=7177
an jian 	按鍵	c=1 d=0.477114 t=7177
an quan 	安全	c=1 d=0.704688 t=7177
an zhuang 	安裝	c=10 d=0.0901694 t=7177
ang zang 	骯髒	c=1 d=7.21644e-16 t=7177
ba 	八	c=2 d=1.95316e-15 t=7177
ba 	吧	c=4 d=2.09705e-06 t=7177
ba 	把	c=26 d=0.0717964 t=7177
ba da jia 	八大家	c=1 d=0.2334 t=7177
ba li 	巴利	c=11 d=0.130433 t=7177
ba li yu 	巴利語	c=3 d=0.00279366 t=7177
ba ni 	把你	c=1 d=7.62316e-14 t=7177
ba zhu 	霸主	c=2 d=0.00166989 t=7177
ba zi 	八字	c=1 d=0.000214973 t=7177
bai 	白	c=1 d=0.000273914 t=7177
bai bao shan 	白寶山	c=3 d=0.00795273 t=7177
bai du 	百度	c=2 d=2.55213e-14 t=7177
bai hua 	白話	c=8 d=0.0739031 t=7177
bai hua wen 	白話文	c=1 d=0.0742736 t=7177
bai ke 	百科	c=1 d=0.000302025 t=7177
bai li 	百里	c=1 d=0.0236356 t=7177
bai se 	白色	c=2 d=0.253666 t=7177
bai tuo 	擺脫	c=1 d=0.0243554 t=7177
ban 	半	c=1 d=0.0237541 t=7177
ban 	版	c=5 d=0.0104499 t=7177
ban 	辦	c=1 d=1.64642e-13 t=7177
ban ben 	版本	c=2 d=0.00544624 t=7177
ban fa 	辦法	c=2 d=6.73479e-09 t=7177
ban gong 	辦公	c=1 d=1.75216e-10 t=7177
ban gong shi 	辦公室	c=1 d=2.08761e-12 t=7177
ban jing 	半徑	c=1 d=8.0918e-10 t=7177
ban yun 	搬運	c=4 d=1.44756e-06 t=7177
bang 	幫	c=7 d=2.01974e-06 t=7177
bang di 	邦迪	c=1 d=8.65611e-09 t=7177
bang ding 	綁定	c=7 d=3.09785e-05 t=7177
bang wo 	幫我	c=7 d=4.1775e-08 t=7177
bang zhu 	幫助	c=3 d=0.00175893 t=7177
bao 	包	c=3 d=1.00489 t=7177
bao 	豹	c=1 d=2.16124e-08 t=7177
bao chi 	保持	c=1 d=8.66053e-15 t=7177
